time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.4150,0.0810,-0.0777,0.3399,0.1273,-0.0878,0.0450,
0.4167,0.0734,-0.0895,0.3420,0.1305,-0.0858,0.0141,
0.4183,0.0650,-0.1026,0.3434,0.1327,-0.0830,-0.0159,
0.4200,0.0558,-0.1170,0.3440,0.1339,-0.0794,-0.0447,
0.4217,0.0462,-0.1324,0.3439,0.1341,-0.0752,-0.0719,
0.4233,0.0363,-0.1489,0.3429,0.1336,-0.0704,-0.0972,
0.4250,0.0262,-0.1662,0.3412,0.1322,-0.0651,-0.1203,
0.4267,0.0162,-0.1841,0.3387,0.1301,-0.0595,-0.1411,
0.4283,0.0064,-0.2026,0.3356,0.1273,-0.0536,-0.1593,
0.4300,-0.0030,-0.2213,0.3318,0.1241,-0.0475,-0.1748,
0.4317,-0.0118,-0.2402,0.3274,0.1204,-0.0415,-0.1877,
0.4333,-0.0198,-0.2592,0.3226,0.1164,-0.0355,-0.1979,
0.4350,-0.0271,-0.2780,0.3173,0.1121,-0.0298,-0.2055,
0.4367,-0.0334,-0.2966,0.3118,0.1077,-0.0244,-0.2105,
0.4383,-0.0387,-0.3148,0.3060,0.1033,-0.0195,-0.2131,
0.4400,-0.0431,-0.3327,0.3001,0.0989,-0.0152,-0.2133,
0.4417,-0.0464,-0.3500,0.2942,0.0946,-0.0115,-0.2114,
0.4433,-0.0487,-0.3668,0.2884,0.0905,-0.0087,-0.2075,
0.4450,-0.0502,-0.3830,0.2828,0.0866,-0.0066,-0.2017,
0.4467,-0.0508,-0.3985,0.2774,0.0831,-0.0055,-0.1942,
0.4483,-0.0507,-0.4132,0.2724,0.0800,-0.0053,-0.1850,
0.4500,-0.0501,-0.4272,0.2677,0.0773,-0.0061,-0.1743,
0.4517,-0.0490,-0.4404,0.2635,0.0750,-0.0079,-0.1622,
0.4533,-0.0477,-0.4527,0.2598,0.0732,-0.0108,-0.1488,
0.4550,-0.0463,-0.4642,0.2567,0.0718,-0.0146,-0.1340,
0.4567,-0.0449,-0.4747,0.2541,0.0710,-0.0195,-0.1180,
0.4583,-0.0438,-0.4843,0.2521,0.0705,-0.0252,-0.1009,
0.4600,-0.0429,-0.4929,0.2508,0.0705,-0.0319,-0.0827,
0.4617,-0.0425,-0.5005,0.2501,0.0709,-0.0393,-0.0635,
0.4633,-0.0426,-0.5070,0.2500,0.0715,-0.0473,-0.0435,
0.4650,-0.0432,-0.5126,0.2505,0.0725,-0.0560,-0.0226,
0.4667,-0.0444,-0.5171,0.2516,0.0736,-0.0650,-0.0012,
