time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.5617,0.0039,0.0005,0.3947,-0.0280,-0.1078,0.0298,
0.5633,0.0102,0.0022,0.3971,-0.0288,-0.1166,0.0291,
0.5650,0.0159,0.0034,0.3977,-0.0294,-0.1245,0.0285,
0.5667,0.0211,0.0042,0.3965,-0.0299,-0.1314,0.0279,
0.5683,0.0255,0.0046,0.3936,-0.0300,-0.1371,0.0273,
0.5700,0.0291,0.0045,0.3891,-0.0299,-0.1416,0.0268,
0.5717,0.0317,0.0041,0.3831,-0.0294,-0.1448,0.0263,
0.5733,0.0334,0.0032,0.3759,-0.0287,-0.1467,0.0257,
0.5750,0.0341,0.0020,0.3676,-0.0277,-0.1474,0.0251,
0.5767,0.0337,0.0005,0.3585,-0.0264,-0.1467,0.0245,
0.5783,0.0323,-0.0012,0.3487,-0.0248,-0.1448,0.0240,
0.5800,0.0298,-0.0032,0.3387,-0.0231,-0.1417,0.0235,
0.5817,0.0264,-0.0053,0.3284,-0.0211,-0.1375,0.0230,
0.5833,0.0220,-0.0075,0.3182,-0.0190,-0.1325,0.0227,
0.5850,0.0168,-0.0097,0.3083,-0.0167,-0.1267,0.0224,
0.5867,0.0108,-0.0119,0.2988,-0.0144,-0.1203,0.0222,
0.5883,0.0042,-0.0140,0.2899,-0.0120,-0.1135,0.0221,
0.5900,-0.0028,-0.0160,0.2817,-0.0096,-0.1065,0.0221,
0.5917,-0.0102,-0.0178,0.2744,-0.0073,-0.0995,0.0222,
0.5933,-0.0177,-0.0195,0.2678,-0.0050,-0.0927,0.0223,
0.5950,-0.0252,-0.0209,0.2622,-0.0028,-0.0864,0.0224,
